team,season,error
Purdue,2021,Missing game_id or date columns
Purdue Fort Wayne,2021,Missing game_id or date columns
Queens,2021,Missing game_id or date columns
Quinnipiac,2021,Missing game_id or date columns
Radford,2021,Missing game_id or date columns
Rhode Island,2021,Missing game_id or date columns
Rice,2021,Missing game_id or date columns
Richmond,2021,Missing game_id or date columns
Rider,2021,Missing game_id or date columns
Robert Morris,2021,Missing game_id or date columns
Rutgers,2021,Missing game_id or date columns
SB,2021,Missing game_id or date columns
SC,2021,Missing game_id or date columns
SEC,2021,Missing game_id or date columns
SIU Edwardsville,2021,Missing game_id or date columns
SMU,2021,Missing game_id or date columns
SWAC,2021,Missing game_id or date columns
Sacramento St.,2021,Missing game_id or date columns
Sacred Heart,2021,Missing game_id or date columns
Saint Francis,2021,Missing game_id or date columns
Saint Joseph's,2021,Missing game_id or date columns
Saint Louis,2021,Missing game_id or date columns
Saint Mary's,2021,Missing game_id or date columns
Saint Peter's,2021,Missing game_id or date columns
Sam Houston St.,2021,Missing game_id or date columns
Samford,2021,Missing game_id or date columns
San Diego,2021,Missing game_id or date columns
San Diego St.,2021,Missing game_id or date columns
San Francisco,2021,Missing game_id or date columns
San Jose St.,2021,Missing game_id or date columns
Santa Clara,2021,Missing game_id or date columns
Seattle,2021,Missing game_id or date columns
Seton Hall,2021,Missing game_id or date columns
Siena,2021,Missing game_id or date columns
Slnd,2021,Missing game_id or date columns
South Alabama,2021,Missing game_id or date columns
South Carolina,2021,Missing game_id or date columns
South Carolina St.,2021,Missing game_id or date columns
South Dakota,2021,Missing game_id or date columns
South Dakota St.,2021,Missing game_id or date columns
South Florida,2021,Missing game_id or date columns
Southeast Missouri St.,2021,Missing game_id or date columns
Southeastern Louisiana,2021,Missing game_id or date columns
Southern,2021,Missing game_id or date columns
Southern Illinois,2021,Missing game_id or date columns
Southern Indiana,2021,Missing game_id or date columns
Southern Miss,2021,Missing game_id or date columns
Southern Utah,2021,Missing game_id or date columns
St. Bonaventure,2021,Missing game_id or date columns
St. Francis NY,2021,Missing game_id or date columns
St. John's,2021,Missing game_id or date columns
St. Thomas,2021,Missing game_id or date columns
Stanford,2021,Missing game_id or date columns
Stephen F. Austin,2021,Missing game_id or date columns
Stetson,2021,Missing game_id or date columns
Stonehill,2021,Missing game_id or date columns
Stony Brook,2021,Missing game_id or date columns
Sum,2021,Missing game_id or date columns
Syracuse,2021,Missing game_id or date columns
TCU,2021,Missing game_id or date columns
Tarleton St.,2021,Missing game_id or date columns
Temple,2021,Missing game_id or date columns
Tennessee,2021,Missing game_id or date columns
Tennessee Martin,2021,Missing game_id or date columns
Tennessee St.,2021,Missing game_id or date columns
Tennessee Tech,2021,Missing game_id or date columns
Texas,2021,Missing game_id or date columns
Texas A&M,2021,Missing game_id or date columns
Texas A&M Corpus Chris,2021,Missing game_id or date columns
Texas Southern,2021,Missing game_id or date columns
Texas St.,2021,Missing game_id or date columns
Texas Tech,2021,Missing game_id or date columns
The Citadel,2021,Missing game_id or date columns
Toledo,2021,Missing game_id or date columns
Towson,2021,Missing game_id or date columns
Troy,2021,Missing game_id or date columns
Tulane,2021,Missing game_id or date columns
Tulsa,2021,Missing game_id or date columns
UAB,2021,Missing game_id or date columns
UC Davis,2021,Missing game_id or date columns
UC Irvine,2021,Missing game_id or date columns
UC Riverside,2021,Missing game_id or date columns
UC San Diego,2021,Missing game_id or date columns
UC Santa Barbara,2021,Missing game_id or date columns
UCF,2021,Missing game_id or date columns
UCLA,2021,Missing game_id or date columns
UMBC,2021,Missing game_id or date columns
UMKC,2021,Missing game_id or date columns
UMass Lowell,2021,Missing game_id or date columns
